This worksheet contains one table spanning A2 through K661 with row 2 as the header row. The table lists Start Strong Fall 2020 data by district. Note that rows 1 and 2 are frozen.,,,,,,,,,,
AGG Description,AGG Group Description,Assessment Year,District Code,District Name,District Name2,Test Code,Valid Scores,Percent Strong Support May Be Needed (Level 1),Precent Some Support May Be Needed (Level 2),Percent Less Support May Be Needed (Level 3)
District,Total,2020-2021,111460,FAIRFIELD TOWNSHIP SCHOOL DISTRICT,Fairfield Township School District,ELA07,47,53,32,15
District,Total,2020-2021,115300,UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT,Upper Deerfield Township School District,ELA07,86,36,29,35
District,Total,2020-2021,131210,EAST ORANGE SCHOOL DISTRICT,East Orange School District,ELA07,11,27,9,64
District,Total,2020-2021,132330,IRVINGTON PUBLIC SCHOOL DISTRICT,Irvington Public School District,ELA07,537,57,24,19
District,Total,2020-2021,133570,NEWARK PUBLIC SCHOOL DISTRICT,Newark Public School District,ELA07,32,28,38,34
District,Total,2020-2021,133880,ORANGE BOARD OF EDUCATION SCHOOL DISTRICT,Orange Board Of Education School District,ELA07,*,*,*,*
District,Total,2020-2021,170220,BAYONNE SCHOOL DISTRICT,Bayonne School District,ELA07,709,27,32,40
District,Total,2020-2021,172060,HARRISON PUBLIC SCHOOLS,Harrison Public Schools,ELA07,134,29,24,47
District,Total,2020-2021,175670,WEST NEW YORK SCHOOL DISTRICT,West New York School District,ELA07,518,48,24,28
District,Total,2020-2021,190020,ALEXANDRIA TOWNSHIP SCHOOL DISTRICT,Alexandria Township School District,ELA07,59,8,29,63
District,Total,2020-2021,190430,BLOOMSBURY BOROUGH SCHOOL DISTRICT,Bloomsbury Borough School District,ELA07,*,*,*,*
District,Total,2020-2021,190920,CLINTON TOWNSHIP SCHOOL DISTRICT,Clinton Township School District,ELA07,151,14,25,62
District,Total,2020-2021,192140,HIGH BRIDGE BOROUGH SCHOOL DISTRICT,High Bridge Borough School District,ELA07,35,9,26,66
District,Total,2020-2021,251490,FARMINGDALE PUBLIC SCHOOL DISTRICT,Farmingdale Public School District,ELA07,12,17,33,50
District,Total,2020-2021,273090,MENDHAM BOROUGH SCHOOL DISTRICT,Mendham Borough School District,ELA07,51,10,16,75
District,Total,2020-2021,273410,MOUNT ARLINGTON PUBLIC SCHOOL DISTRICT,Mount Arlington Public School District,ELA07,47,28,30,43
District,Total,2020-2021,312100,HAWTHORNE PUBLIC SCHOOL DISTRICT,Hawthorne Public School District,ELA07,201,30,25,45
District,Total,2020-2021,315650,WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,West Milford Township Public School District,ELA07,259,19,25,55
District,Total,2020-2021,332950,MANNINGTON TOWNSHIP SCHOOL DISTRICT,Mannington Township School District,ELA07,14,14,29,57
District,Total,2020-2021,371800,GREEN TOWNSHIP SCHOOL DISTRICT,Green Township School District,ELA07,42,12,29,60
District,Total,2020-2021,371930,HAMBURG SCHOOL DISTRICT,Hamburg School District,ELA07,21,19,43,38
District,Total,2020-2021,391320,ELIZABETH PUBLIC SCHOOLS,Elizabeth Public Schools,ELA07,*,*,*,*
District,Total,2020-2021,392190,HILLSIDE PUBLIC SCHOOL DISTRICT,Hillside Public School District,ELA07,*,*,*,*
District,Total,2020-2021,394160,PLAINFIELD PUBLIC SCHOOL DISTRICT,Plainfield Public School District,ELA07,*,*,*,*
District,Total,2020-2021,394540,ROSELLE PUBLIC SCHOOLS,Roselle Public Schools,ELA07,267,54,22,24
District,Total,2020-2021,395290,TOWNSHIP OF UNION SCHOOL DISTRICT,Township Of Union School District,ELA07,560,25,29,46
District,Total,2020-2021,806076,BENJAMIN BANNEKER PREPARATORY CHARTER SCHOOL,Benjamin Banneker Preparatory Charter School,ELA07,41,37,24,39
District,Total,2020-2021,806079,JOHN P HOLLAND CHARTER SCHOOL,John P Holland Charter School,ELA07,22,32,32,36
District,Total,2020-2021,806099,LINK COMMUNITY CHARTER SCHOOL,Link Community Charter School,ELA07,*,*,*,*
District,Total,2020-2021,807109,LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,Leap Academy University Charter School,ELA07,75,45,24,31
District,Total,2020-2021,807500,PACE CHARTER SCHOOL OF HAMILTON,Pace Charter School Of Hamilton,ELA07,40,10,28,63
District,Total,2020-2021,807890,TEANECK COMMUNITY CHARTER SCHOOL,Teaneck Community Charter School,ELA07,34,6,18,76
District,Total,2020-2021,808010,UNION COUNTY TEAMS CHARTER SCHOOL-HIGH SCHOOL/COLLEGE LA,Union County Teams Charter School-High School/College La,ELA07,32,31,38,31
District,Total,2020-2021,808140,THE VILLAGE CHARTER SCHOOL,The Village Charter School,ELA07,41,24,41,34
District,Total,2020-2021,015760,WEYMOUTH TOWNSHIP SCHOOL DISTRICT,Weymouth Township School District,ELA08,12,17,17,67
District,Total,2020-2021,031230,EAST RUTHERFORD SCHOOL DISTRICT,East Rutherford School District,ELA08,88,26,19,55
District,Total,2020-2021,032080,HASBROUCK HEIGHTS SCHOOL DISTRICT,Hasbrouck Heights School District,ELA08,149,35,17,48
District,Total,2020-2021,032900,MAHWAH TOWNSHIP PUBLIC SCHOOL DISTRICT,Mahwah Township Public School District,ELA08,211,21,21,58
District,Total,2020-2021,034370,RIDGEFIELD SCHOOL DISTRICT,Ridgefield School District,ELA08,129,22,22,55
District,Total,2020-2021,034470,ROCHELLE PARK SCHOOL DISTRICT,Rochelle Park School District,ELA08,18,0,11,89
District,Total,2020-2021,034870,SOUTH HACKENSACK SCHOOL DISTRICT,South Hackensack School District,ELA08,27,41,26,33
District,Total,2020-2021,035150,TEANECK SCHOOL DISTRICT,Teaneck School District,ELA08,215,38,19,43
District,Total,2020-2021,035410,WALDWICK SCHOOL DISTRICT,Waldwick School District,ELA08,110,24,13,64
District,Total,2020-2021,053440,MOUNT LAUREL TOWNSHIP SCHOOL DISTRICT,Mount Laurel Township School District,ELA08,461,23,21,56
District,Total,2020-2021,054930,SOUTHAMPTON TOWNSHIP SCHOOL DISTRICT,Southampton Township School District,ELA08,78,24,18,58
District,Total,2020-2021,075900,WOODLYNNE SCHOOL DISTRICT,Woodlynne School District,ELA08,38,58,21,21
District,Total,2020-2021,111460,FAIRFIELD TOWNSHIP SCHOOL DISTRICT,Fairfield Township School District,ELA08,62,58,21,21
District,Total,2020-2021,115300,UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT,Upper Deerfield Township School District,ELA08,73,49,12,38
District,Total,2020-2021,131210,EAST ORANGE SCHOOL DISTRICT,East Orange School District,ELA08,13,38,23,38
District,Total,2020-2021,132330,IRVINGTON PUBLIC SCHOOL DISTRICT,Irvington Public School District,ELA08,533,71,11,19
District,Total,2020-2021,133570,NEWARK PUBLIC SCHOOL DISTRICT,Newark Public School District,ELA08,24,50,29,21
District,Total,2020-2021,133880,ORANGE BOARD OF EDUCATION SCHOOL DISTRICT,Orange Board Of Education School District,ELA08,*,*,*,*
District,Total,2020-2021,170220,BAYONNE SCHOOL DISTRICT,Bayonne School District,ELA08,720,36,20,44
District,Total,2020-2021,172060,HARRISON PUBLIC SCHOOLS,Harrison Public Schools,ELA08,139,30,17,53
District,Total,2020-2021,175670,WEST NEW YORK SCHOOL DISTRICT,West New York School District,ELA08,557,53,19,28
District,Total,2020-2021,190020,ALEXANDRIA TOWNSHIP SCHOOL DISTRICT,Alexandria Township School District,ELA08,59,19,10,71
District,Total,2020-2021,190430,BLOOMSBURY BOROUGH SCHOOL DISTRICT,Bloomsbury Borough School District,ELA08,*,*,*,*
District,Total,2020-2021,190920,CLINTON TOWNSHIP SCHOOL DISTRICT,Clinton Township School District,ELA08,169,21,18,61
District,Total,2020-2021,192140,HIGH BRIDGE BOROUGH SCHOOL DISTRICT,High Bridge Borough School District,ELA08,41,20,12,68
District,Total,2020-2021,231290,EDISON TOWNSHIP SCHOOL DISTRICT,Edison Township School District,ELA08,*,*,*,*
District,Total,2020-2021,234920,SOUTH RIVER PUBLIC SCHOOL DISTRICT,South River Public School District,ELA08,19,74,5,21
District,Total,2020-2021,251490,FARMINGDALE PUBLIC SCHOOL DISTRICT,Farmingdale Public School District,ELA08,14,21,0,79
District,Total,2020-2021,273090,MENDHAM BOROUGH SCHOOL DISTRICT,Mendham Borough School District,ELA08,64,19,16,66
District,Total,2020-2021,273410,MOUNT ARLINGTON PUBLIC SCHOOL DISTRICT,Mount Arlington Public School District,ELA08,40,35,23,43
District,Total,2020-2021,312100,HAWTHORNE PUBLIC SCHOOL DISTRICT,Hawthorne Public School District,ELA08,170,31,19,50
District,Total,2020-2021,315650,WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,West Milford Township Public School District,ELA08,239,33,23,44
District,Total,2020-2021,332950,MANNINGTON TOWNSHIP SCHOOL DISTRICT,Mannington Township School District,ELA08,21,29,14,57
District,Total,2020-2021,371800,GREEN TOWNSHIP SCHOOL DISTRICT,Green Township School District,ELA08,52,19,27,54
District,Total,2020-2021,371930,HAMBURG SCHOOL DISTRICT,Hamburg School District,ELA08,19,37,21,42
District,Total,2020-2021,375030,STANHOPE SCHOOL DISTRICT,Stanhope School District,ELA08,*,*,*,*
District,Total,2020-2021,392190,HILLSIDE PUBLIC SCHOOL DISTRICT,Hillside Public School District,ELA08,*,*,*,*
District,Total,2020-2021,394290,RAHWAY PUBLIC SCHOOL DISTRICT,Rahway Public School District,ELA08,*,*,*,*
District,Total,2020-2021,394540,ROSELLE PUBLIC SCHOOLS,Roselle Public Schools,ELA08,227,60,16,24
District,Total,2020-2021,395290,TOWNSHIP OF UNION SCHOOL DISTRICT,Township Of Union School District,ELA08,572,34,24,42
District,Total,2020-2021,806076,BENJAMIN BANNEKER PREPARATORY CHARTER SCHOOL,Benjamin Banneker Preparatory Charter School,ELA08,36,42,17,42
District,Total,2020-2021,806079,JOHN P HOLLAND CHARTER SCHOOL,John P Holland Charter School,ELA08,22,55,23,23
District,Total,2020-2021,806099,LINK COMMUNITY CHARTER SCHOOL,Link Community Charter School,ELA08,*,*,*,*
District,Total,2020-2021,807109,LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,Leap Academy University Charter School,ELA08,92,60,24,16
District,Total,2020-2021,807500,PACE CHARTER SCHOOL OF HAMILTON,Pace Charter School Of Hamilton,ELA08,39,44,13,44
District,Total,2020-2021,807890,TEANECK COMMUNITY CHARTER SCHOOL,Teaneck Community Charter School,ELA08,35,17,14,69
District,Total,2020-2021,808010,UNION COUNTY TEAMS CHARTER SCHOOL-HIGH SCHOOL/COLLEGE LA,Union County Teams Charter School-High School/College La,ELA08,37,35,27,38
District,Total,2020-2021,808140,THE VILLAGE CHARTER SCHOOL,The Village Charter School,ELA08,39,51,13,36
District,Total,2020-2021,030745,CARLSTADT-EAST RUTHERFORD REGIONAL HIGH SCHOOL DISTRICT,Carlstadt-East Rutherford Regional High School District,ELA09,173,38,18,44
District,Total,2020-2021,032080,HASBROUCK HEIGHTS SCHOOL DISTRICT,Hasbrouck Heights School District,ELA09,143,43,12,45
District,Total,2020-2021,032620,LEONIA PUBLIC SCHOOL DISTRICT,Leonia Public School District,ELA09,195,18,11,70
District,Total,2020-2021,032900,MAHWAH TOWNSHIP PUBLIC SCHOOL DISTRICT,Mahwah Township Public School District,ELA09,215,32,13,55
District,Total,2020-2021,034300,RAMAPO INDIAN HILLS REGIONAL HIGH SCHOOL DISTRICT,Ramapo Indian Hills Regional High School District,ELA09,467,27,18,55
District,Total,2020-2021,034370,RIDGEFIELD SCHOOL DISTRICT,Ridgefield School District,ELA09,105,21,14,65
District,Total,2020-2021,035150,TEANECK SCHOOL DISTRICT,Teaneck School District,ELA09,228,35,18,47
District,Total,2020-2021,092820,LOWER CAPE MAY REGIONAL SCHOOL DISTRICT,Lower Cape May Regional School District,ELA09,161,34,20,47
District,Total,2020-2021,131390,ESSEX COUNTY SCHOOLS OF TECHNOLOGY,Essex County Schools Of Technology,ELA09,531,28,13,59
District,Total,2020-2021,132330,IRVINGTON PUBLIC SCHOOL DISTRICT,Irvington Public School District,ELA09,272,54,13,33
District,Total,2020-2021,171200,EAST NEWARK SCHOOL DISTRICT,East Newark School District,ELA09,*,*,*,*
District,Total,2020-2021,172060,HARRISON PUBLIC SCHOOLS,Harrison Public Schools,ELA09,141,33,15,52
District,Total,2020-2021,175240,UNION CITY SCHOOL DISTRICT,Union City School District,ELA09,*,*,*,*
District,Total,2020-2021,175670,WEST NEW YORK SCHOOL DISTRICT,West New York School District,ELA09,462,53,12,35
District,Total,2020-2021,233150,MIDDLESEX COUNTY VOCATIONAL AND TECHNICAL SCHOOL DISTRICT,Middlesex County Vocational And Technical School District,ELA09,359,38,16,46
District,Total,2020-2021,312100,HAWTHORNE PUBLIC SCHOOL DISTRICT,Hawthorne Public School District,ELA09,154,46,16,38
District,Total,2020-2021,313995,PASSAIC COUNTY VOCATIONAL SCHOOL DISTRICT,Passaic County Vocational School District,ELA09,10,40,40,20
District,Total,2020-2021,315650,WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,West Milford Township Public School District,ELA09,219,43,12,45
District,Total,2020-2021,394540,ROSELLE PUBLIC SCHOOLS,Roselle Public Schools,ELA09,183,46,17,37
District,Total,2020-2021,395290,TOWNSHIP OF UNION SCHOOL DISTRICT,Township Of Union School District,ELA09,472,45,12,43
District,Total,2020-2021,806033,THE BARACK OBAMA GREEN CHARTER HIGH SCHOOL DISTRICT,The Barack Obama Green Charter High School District,ELA09,46,28,26,46
District,Total,2020-2021,807109,LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,Leap Academy University Charter School,ELA09,114,45,15,40
District,Total,2020-2021,808010,UNION COUNTY TEAMS CHARTER SCHOOL-HIGH SCHOOL/COLLEGE LA,Union County Teams Charter School-High School/College La,ELA09,50,50,18,32
District,Total,2020-2021,808060,UNIVERSITY ACADEMY CHARTER HIGH SCHOOL,University Academy Charter High School,ELA09,116,45,12,43
District,Total,2020-2021,030745,CARLSTADT-EAST RUTHERFORD REGIONAL HIGH SCHOOL DISTRICT,Carlstadt-East Rutherford Regional High School District,ELA10,124,29,23,48
District,Total,2020-2021,032080,HASBROUCK HEIGHTS SCHOOL DISTRICT,Hasbrouck Heights School District,ELA10,138,28,18,54
District,Total,2020-2021,032620,LEONIA PUBLIC SCHOOL DISTRICT,Leonia Public School District,ELA10,205,13,16,71
District,Total,2020-2021,032900,MAHWAH TOWNSHIP PUBLIC SCHOOL DISTRICT,Mahwah Township Public School District,ELA10,188,10,16,74
District,Total,2020-2021,034300,RAMAPO INDIAN HILLS REGIONAL HIGH SCHOOL DISTRICT,Ramapo Indian Hills Regional High School District,ELA10,518,17,17,66
District,Total,2020-2021,034370,RIDGEFIELD SCHOOL DISTRICT,Ridgefield School District,ELA10,89,17,18,65
District,Total,2020-2021,035150,TEANECK SCHOOL DISTRICT,Teaneck School District,ELA10,249,15,18,66
District,Total,2020-2021,092820,LOWER CAPE MAY REGIONAL SCHOOL DISTRICT,Lower Cape May Regional School District,ELA10,93,24,20,56
District,Total,2020-2021,131390,ESSEX COUNTY SCHOOLS OF TECHNOLOGY,Essex County Schools Of Technology,ELA10,596,12,13,75
District,Total,2020-2021,132330,IRVINGTON PUBLIC SCHOOL DISTRICT,Irvington Public School District,ELA10,264,41,16,43
District,Total,2020-2021,172060,HARRISON PUBLIC SCHOOLS,Harrison Public Schools,ELA10,155,22,23,55
District,Total,2020-2021,175240,UNION CITY SCHOOL DISTRICT,Union City School District,ELA10,*,*,*,*
District,Total,2020-2021,175670,WEST NEW YORK SCHOOL DISTRICT,West New York School District,ELA10,419,29,18,53
District,Total,2020-2021,233150,MIDDLESEX COUNTY VOCATIONAL AND TECHNICAL SCHOOL DISTRICT,Middlesex County Vocational And Technical School District,ELA10,375,29,22,49
District,Total,2020-2021,312100,HAWTHORNE PUBLIC SCHOOL DISTRICT,Hawthorne Public School District,ELA10,139,39,24,37
District,Total,2020-2021,313995,PASSAIC COUNTY VOCATIONAL SCHOOL DISTRICT,Passaic County Vocational School District,ELA10,43,21,19,60
District,Total,2020-2021,315650,WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,West Milford Township Public School District,ELA10,234,31,22,47
District,Total,2020-2021,394540,ROSELLE PUBLIC SCHOOLS,Roselle Public Schools,ELA10,184,34,22,45
District,Total,2020-2021,395290,TOWNSHIP OF UNION SCHOOL DISTRICT,Township Of Union School District,ELA10,450,29,16,55
District,Total,2020-2021,806033,THE BARACK OBAMA GREEN CHARTER HIGH SCHOOL DISTRICT,The Barack Obama Green Charter High School District,ELA10,55,31,31,38
District,Total,2020-2021,807109,LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,Leap Academy University Charter School,ELA10,103,36,24,40
District,Total,2020-2021,808010,UNION COUNTY TEAMS CHARTER SCHOOL-HIGH SCHOOL/COLLEGE LA,Union County Teams Charter School-High School/College La,ELA10,32,38,9,53
District,Total,2020-2021,808060,UNIVERSITY ACADEMY CHARTER HIGH SCHOOL,University Academy Charter High School,ELA10,223,35,18,47
District,Total,2020-2021,030745,CARLSTADT-EAST RUTHERFORD REGIONAL HIGH SCHOOL DISTRICT,Carlstadt-East Rutherford Regional High School District,GEO01,176,53,27,20
District,Total,2020-2021,032080,HASBROUCK HEIGHTS SCHOOL DISTRICT,Hasbrouck Heights School District,GEO01,111,22,28,50
District,Total,2020-2021,032620,LEONIA PUBLIC SCHOOL DISTRICT,Leonia Public School District,GEO01,156,16,29,54
District,Total,2020-2021,032900,MAHWAH TOWNSHIP PUBLIC SCHOOL DISTRICT,Mahwah Township Public School District,GEO01,199,22,21,58
District,Total,2020-2021,034300,RAMAPO INDIAN HILLS REGIONAL HIGH SCHOOL DISTRICT,Ramapo Indian Hills Regional High School District,GEO01,441,18,24,57
District,Total,2020-2021,034370,RIDGEFIELD SCHOOL DISTRICT,Ridgefield School District,GEO01,105,25,22,53
District,Total,2020-2021,035150,TEANECK SCHOOL DISTRICT,Teaneck School District,GEO01,225,35,27,38
District,Total,2020-2021,053440,MOUNT LAUREL TOWNSHIP SCHOOL DISTRICT,Mount Laurel Township School District,GEO01,84,0,8,92
District,Total,2020-2021,092820,LOWER CAPE MAY REGIONAL SCHOOL DISTRICT,Lower Cape May Regional School District,GEO01,128,28,20,52
District,Total,2020-2021,131390,ESSEX COUNTY SCHOOLS OF TECHNOLOGY,Essex County Schools Of Technology,GEO01,452,22,30,48
District,Total,2020-2021,132330,IRVINGTON PUBLIC SCHOOL DISTRICT,Irvington Public School District,GEO01,250,65,24,11
District,Total,2020-2021,171200,EAST NEWARK SCHOOL DISTRICT,East Newark School District,GEO01,*,*,*,*
District,Total,2020-2021,172060,HARRISON PUBLIC SCHOOLS,Harrison Public Schools,GEO01,157,38,27,36
District,Total,2020-2021,175240,UNION CITY SCHOOL DISTRICT,Union City School District,GEO01,*,*,*,*
District,Total,2020-2021,175670,WEST NEW YORK SCHOOL DISTRICT,West New York School District,GEO01,560,53,24,22
District,Total,2020-2021,233150,MIDDLESEX COUNTY VOCATIONAL AND TECHNICAL SCHOOL DISTRICT,Middlesex County Vocational And Technical School District,GEO01,384,43,30,27
District,Total,2020-2021,254365,RED BANK REGIONAL SCHOOL DISTRICT,Red Bank Regional School District,GEO01,320,27,23,51
District,Total,2020-2021,312100,HAWTHORNE PUBLIC SCHOOL DISTRICT,Hawthorne Public School District,GEO01,144,47,24,28
District,Total,2020-2021,313995,PASSAIC COUNTY VOCATIONAL SCHOOL DISTRICT,Passaic County Vocational School District,GEO01,38,32,29,39
District,Total,2020-2021,315650,WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,West Milford Township Public School District,GEO01,269,39,26,35
District,Total,2020-2021,394540,ROSELLE PUBLIC SCHOOLS,Roselle Public Schools,GEO01,178,62,21,17
District,Total,2020-2021,395000,SPRINGFIELD PUBLIC SCHOOL DISTRICT,Springfield Public School District,GEO01,35,9,11,80
District,Total,2020-2021,395290,TOWNSHIP OF UNION SCHOOL DISTRICT,Township Of Union School District,GEO01,470,41,30,29
District,Total,2020-2021,807109,LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,Leap Academy University Charter School,GEO01,179,59,28,13
District,Total,2020-2021,807890,TEANECK COMMUNITY CHARTER SCHOOL,Teaneck Community Charter School,GEO01,13,0,23,77
District,Total,2020-2021,808060,UNIVERSITY ACADEMY CHARTER HIGH SCHOOL,University Academy Charter High School,GEO01,116,57,28,16
District,Total,2020-2021,015760,WEYMOUTH TOWNSHIP SCHOOL DISTRICT,Weymouth Township School District,MAT04,12,58,8,33
District,Total,2020-2021,032620,LEONIA PUBLIC SCHOOL DISTRICT,Leonia Public School District,MAT04,116,12,25,63
District,Total,2020-2021,032900,MAHWAH TOWNSHIP PUBLIC SCHOOL DISTRICT,Mahwah Township Public School District,MAT04,207,17,32,51
District,Total,2020-2021,034370,RIDGEFIELD SCHOOL DISTRICT,Ridgefield School District,MAT04,87,20,34,46
District,Total,2020-2021,034870,SOUTH HACKENSACK SCHOOL DISTRICT,South Hackensack School District,MAT04,31,39,32,29
District,Total,2020-2021,035150,TEANECK SCHOOL DISTRICT,Teaneck School District,MAT04,209,25,37,37
District,Total,2020-2021,035410,WALDWICK SCHOOL DISTRICT,Waldwick School District,MAT04,124,11,35,54
District,Total,2020-2021,052850,LUMBERTON TOWNSHIP BOARD OF EDUCATION,Lumberton Township Board Of Education,MAT04,*,*,*,*
District,Total,2020-2021,053440,MOUNT LAUREL TOWNSHIP SCHOOL DISTRICT,Mount Laurel Township School District,MAT04,445,23,33,44
District,Total,2020-2021,053650,NORTH HANOVER TOWNSHIP SCHOOL DISTRICT,North Hanover Township School District,MAT04,124,27,44,30
District,Total,2020-2021,054050,PEMBERTON TOWNSHIP SCHOOL DISTRICT,Pemberton Township School District,MAT04,*,*,*,*
District,Total,2020-2021,054930,SOUTHAMPTON TOWNSHIP SCHOOL DISTRICT,Southampton Township School District,MAT04,74,41,35,24
District,Total,2020-2021,075900,WOODLYNNE SCHOOL DISTRICT,Woodlynne School District,MAT04,24,29,33,38
District,Total,2020-2021,095610,WEST CAPE MAY SCHOOL DISTRICT,West Cape May School District,MAT04,*,*,*,*
District,Total,2020-2021,111460,FAIRFIELD TOWNSHIP SCHOOL DISTRICT,Fairfield Township School District,MAT04,46,46,30,24
District,Total,2020-2021,115300,UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT,Upper Deerfield Township School District,MAT04,78,38,28,33
District,Total,2020-2021,132330,IRVINGTON PUBLIC SCHOOL DISTRICT,Irvington Public School District,MAT04,518,60,27,13
District,Total,2020-2021,170220,BAYONNE SCHOOL DISTRICT,Bayonne School District,MAT04,678,24,37,39
District,Total,2020-2021,172060,HARRISON PUBLIC SCHOOLS,Harrison Public Schools,MAT04,129,25,44,31
District,Total,2020-2021,175240,UNION CITY SCHOOL DISTRICT,Union City School District,MAT04,21,24,29,48
District,Total,2020-2021,175670,WEST NEW YORK SCHOOL DISTRICT,West New York School District,MAT04,555,50,34,16
District,Total,2020-2021,190430,BLOOMSBURY BOROUGH SCHOOL DISTRICT,Bloomsbury Borough School District,MAT04,13,15,23,62
District,Total,2020-2021,192140,HIGH BRIDGE BOROUGH SCHOOL DISTRICT,High Bridge Borough School District,MAT04,39,31,33,36
District,Total,2020-2021,218501,OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES,Office Of Education Department Of Children And Families,MAT04,*,*,*,*
District,Total,2020-2021,251490,FARMINGDALE PUBLIC SCHOOL DISTRICT,Farmingdale Public School District,MAT04,11,27,55,18
District,Total,2020-2021,273100,MENDHAM TOWNSHIP SCHOOL DISTRICT,Mendham Township School District,MAT04,71,4,27,69
District,Total,2020-2021,273410,MOUNT ARLINGTON PUBLIC SCHOOL DISTRICT,Mount Arlington Public School District,MAT04,29,17,55,28
District,Total,2020-2021,312100,HAWTHORNE PUBLIC SCHOOL DISTRICT,Hawthorne Public School District,MAT04,148,28,42,30
District,Total,2020-2021,315650,WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,West Milford Township Public School District,MAT04,225,27,42,32
District,Total,2020-2021,332950,MANNINGTON TOWNSHIP SCHOOL DISTRICT,Mannington Township School District,MAT04,18,6,22,72
District,Total,2020-2021,371800,GREEN TOWNSHIP SCHOOL DISTRICT,Green Township School District,MAT04,29,31,28,41
District,Total,2020-2021,371930,HAMBURG SCHOOL DISTRICT,Hamburg School District,MAT04,20,30,50,20
District,Total,2020-2021,395290,TOWNSHIP OF UNION SCHOOL DISTRICT,Township Of Union School District,MAT04,493,27,34,39
District,Total,2020-2021,806029,NEWARK EDUCATORS COMMUNITY CHARTER SCHOOL,Newark Educators Community Charter School,MAT04,38,68,26,5
District,Total,2020-2021,806058,ROSEVILLE COMMUNITY CHARTER SCHOOL,Roseville Community Charter School,MAT04,52,62,27,12
District,Total,2020-2021,806076,BENJAMIN BANNEKER PREPARATORY CHARTER SCHOOL,Benjamin Banneker Preparatory Charter School,MAT04,40,48,30,23
District,Total,2020-2021,806079,JOHN P HOLLAND CHARTER SCHOOL,John P Holland Charter School,MAT04,26,62,35,4
District,Total,2020-2021,806089,COMPASS ACADEMY CHARTER SCHOOL,Compass Academy Charter School,MAT04,34,65,21,15
District,Total,2020-2021,806102,CRESTHAVEN ACADEMY CHARTER SCHOOL,Cresthaven Academy Charter School,MAT04,78,38,41,21
District,Total,2020-2021,807109,LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,Leap Academy University Charter School,MAT04,205,57,28,15
District,Total,2020-2021,807500,PACE CHARTER SCHOOL OF HAMILTON,Pace Charter School Of Hamilton,MAT04,44,43,41,16
District,Total,2020-2021,807890,TEANECK COMMUNITY CHARTER SCHOOL,Teaneck Community Charter School,MAT04,34,12,21,68
District,Total,2020-2021,808010,UNION COUNTY TEAMS CHARTER SCHOOL-HIGH SCHOOL/COLLEGE LA,Union County Teams Charter School-High School/College La,MAT04,20,55,20,25
District,Total,2020-2021,808140,THE VILLAGE CHARTER SCHOOL,The Village Charter School,MAT04,41,37,34,29
District,Total,2020-2021,015760,WEYMOUTH TOWNSHIP SCHOOL DISTRICT,Weymouth Township School District,MAT05,24,71,21,8
District,Total,2020-2021,031230,EAST RUTHERFORD SCHOOL DISTRICT,East Rutherford School District,MAT05,59,31,20,49
District,Total,2020-2021,032620,LEONIA PUBLIC SCHOOL DISTRICT,Leonia Public School District,MAT05,111,23,21,57
District,Total,2020-2021,032900,MAHWAH TOWNSHIP PUBLIC SCHOOL DISTRICT,Mahwah Township Public School District,MAT05,191,22,28,50
District,Total,2020-2021,034370,RIDGEFIELD SCHOOL DISTRICT,Ridgefield School District,MAT05,102,22,37,41
District,Total,2020-2021,034870,SOUTH HACKENSACK SCHOOL DISTRICT,South Hackensack School District,MAT05,30,50,30,20
District,Total,2020-2021,035150,TEANECK SCHOOL DISTRICT,Teaneck School District,MAT05,194,33,25,42
District,Total,2020-2021,035410,WALDWICK SCHOOL DISTRICT,Waldwick School District,MAT05,122,8,26,66
District,Total,2020-2021,053440,MOUNT LAUREL TOWNSHIP SCHOOL DISTRICT,Mount Laurel Township School District,MAT05,436,32,24,44
District,Total,2020-2021,053650,NORTH HANOVER TOWNSHIP SCHOOL DISTRICT,North Hanover Township School District,MAT05,109,32,37,31
District,Total,2020-2021,054050,PEMBERTON TOWNSHIP SCHOOL DISTRICT,Pemberton Township School District,MAT05,*,*,*,*
District,Total,2020-2021,054930,SOUTHAMPTON TOWNSHIP SCHOOL DISTRICT,Southampton Township School District,MAT05,79,38,28,34
District,Total,2020-2021,075900,WOODLYNNE SCHOOL DISTRICT,Woodlynne School District,MAT05,22,64,9,27
District,Total,2020-2021,095610,WEST CAPE MAY SCHOOL DISTRICT,West Cape May School District,MAT05,11,18,9,73
